ri_item_id,count
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-additional-info/surat-itms-bus-info,7
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-revenue-collection/community-hall-bookings,0
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-bike-docking-locations/station-locations,0
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-bike-docking-locations/fare-info,0
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-bike-docking-info/station-slot-info,0
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-additional-info/bus-route-info,0
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-revenue-collection/auditorium-bookings,0
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-additional-info/surat-itms-fare-info,0
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-afcs-info/fare-transactions,0
smartcitytumakuru.in/bacef936f16d106508f821f0f4345c7c360c9ff3/rs.iudx.org.in/tumakuru-swm-vehicles/live-locations,0
smartbhopal.city/be4f6266ab6f0ebd625ee31b5841a017f236f5a4/rs.iudx.org.in/bhopal-point-of-interests/wifi-locations,0
smartbhopal.city/be4f6266ab6f0ebd625ee31b5841a017f236f5a4/rs.iudx.org.in/bhopal-point-of-interests/tvds-locations,0
smartbhopal.city/be4f6266ab6f0ebd625ee31b5841a017f236f5a4/rs.iudx.org.in/bhopal-itms-additional-info/route-stop-sequences,0
smartbhopal.city/be4f6266ab6f0ebd625ee31b5841a017f236f5a4/rs.iudx.org.in/bhopal-point-of-interests/smart-bill-board-locations,0
smartbhopal.city/be4f6266ab6f0ebd625ee31b5841a017f236f5a4/rs.iudx.org.in/bhopal-itms-additional-info/fare-info,0
smartbhopal.city/be4f6266ab6f0ebd625ee31b5841a017f236f5a4/rs.iudx.org.in/bhopal-itms-additional-info/bus-stops-info,0
smartbhopal.city/be4f6266ab6f0ebd625ee31b5841a017f236f5a4/rs.iudx.org.in/bhopal-itms-additional-info/bus-depot-info,0
smartbhopal.city/be4f6266ab6f0ebd625ee31b5841a017f236f5a4/rs.iudx.org.in/bhopal-bike-docking-locations/station-locations,0
agrasmartcity.in/2596fbd3d724e5fd241e9ecb8940604be40a492e/rs.iudx.org.in/agra-point-of-interests/shelter-home-locations,0
agrasmartcity.in/2596fbd3d724e5fd241e9ecb8940604be40a492e/rs.iudx.org.in/agra-point-of-interests/public-toilet-locations,0
agrasmartcity.in/2596fbd3d724e5fd241e9ecb8940604be40a492e/rs.iudx.org.in/agra-point-of-interests/pa-locations,0
agrasmartcity.in/2596fbd3d724e5fd241e9ecb8940604be40a492e/rs.iudx.org.in/agra-point-of-interests/aqm-sensor-locations,1
